EFSA 12 94.7928 45.0 12 61.9490724 28.9273551 30 61.9370323 28.9629555 11110 125.73300000000017
UUYY 18 103.9368 45.0 18 61.6573971 50.8538726 36 61.6365389 50.836361 11170 201.77000000000407
UUYY 36 103.9368 45.0 36 61.6365389 50.836361 18 61.6573971 50.8538726 10830 21.75999999999999
EFHK 04R 54.559200000000004 60.05 04R 60.3094561 24.9322977 22L 60.3306777 24.9790534 11150 47.49300000000039
EFHK 22L 54.559200000000004 60.05 22L 60.3306777 24.9790534 04R 60.3094561 24.9322977 11030 227.4930000000022
EFHK 04L 54.559200000000004 60.05 04L 60.3129536 24.9038163 22R 60.331563 24.9448194 11190 47.45999999999913
EFHK 22R 54.559200000000004 60.05 22R 60.331563 24.9448194 04L 60.3129536 24.9038163 11070 227.4600000000064
EFHK 15 54.559200000000004 60.0 15 60.330327 24.964506 33 60.3070652 24.9882769 10910 153.09999999999854
ENGM 01L 207.5688 45.11 01L 60.1849967 11.0737462 19R 60.2161546 11.0917004 11030 16.0029999999997
ENGM 19R 207.5688 45.11 19R 60.2161546 11.0917004 01L 60.1849967 11.0737462 11130 196.00299999999697
ENGM 01R 207.5688 45.11 01R 60.1757553 11.1077969 19L 60.2012149 11.1225183 11195 16.02900000000045
ENGM 19L 207.5688 45.11 19L 60.2012149 11.1225183 01R 60.1757553 11.1077969 11055 196.028999999995
USMM 14 14.9352 46.0 14 65.493239 72.6873063 32 65.471281 72.709475 11050 157.28100000000268
USMM 32 14.9352 46.0 32 65.471281 72.709475 14 65.493239 72.6873063 11030 337.2810000000027
BGTL 08T 76.8096 45.72 08T 76.5300396 -68.7617929 26T 76.5324261 -68.6445393 10950 85.02100000000064
EFKE 18 18.8976 47.85 18 65.793017 24.586011 36 65.770761 24.578861 11090 187.50400000000081
EFPO 30 13.1064 60.0 30 61.4557704 21.8171094 12 61.4681094 21.7813344 10810 305.8319999999949
ULMK 11 159.7152 42.0 11 67.4696467 33.5624843 29 67.4557593 33.6083903 11050 128.3269999999975
ESPA 14 19.5072 45.0 14 65.5548112 22.0973638 32 65.5327253 22.1465364 11030 137.362000000001
ESPA 32 19.5072 45.0 32 65.5327253 22.1465364 14 65.5548112 22.0973638 10990 317.3619999999937
EFKS 12 263.9568 45.11 12 65.9948338 29.2197496 30 65.9800405 29.2597675 11030 132.2430000000022
ENDU 28 76.8096 45.11 28 69.0523648 18.5678437 10 69.0595061 18.5098973 10870 287.77099999999336
ENRO 31 626.0592 42.0 31 62.5735399 11.3563639 13 62.5847032 11.3331142 10870 307.25900000000547
BIAR 01 1.2192 45.11 01 65.6458437 -18.0699439 19 65.667303 -18.074 10890 358.212
BIAR 19 1.2192 45.11 19 65.667303 -18.074 01 65.6458437 -18.0699439 11050 172.49899999999616
EKVG 30 85.03920000000001 30.0 30 62.0594457 -7.2606004 12 62.0670266 -7.291106 11030 297.9459999999963
ULAM 24 12.8016 40.0 24 67.641847 53.151117 06 67.6386941 53.0913606 10950 262.13099999999395
ENEV 17 25.2984 45.0 17 68.5038984 16.6767116 35 68.4787421 16.6795587 10890 177.59999999999854
EFKT 34 196.2912 45.0 34 67.6901502 24.8538938 16 67.7118589 24.8397951 11190 346.1290000000008
ULMM 13 81.0768 42.0 13 68.7911083 32.7340112 31 68.772486 32.76845 11030 146.22099999999773
ULMM 31 81.0768 42.0 31 68.772486 32.76845 13 68.7911083 32.7340112 10850 326.221000000005
ESKM 16 191.7192 45.11 16 60.9656435 14.5058641 34 60.9502157 14.5166492 10970 161.25499999999738
EFKU 33 98.4504 60.05 33 62.994928 27.809075 15 63.018081 27.787644 11030 337.221000000005
ENML 07 2.1336 45.11 07 62.742279 7.2467178 25 62.7487565 7.2877866 10975 70.9890000000014
CYRB 35 65.2272 60.06 35 74.7082598 -94.9617457 17 74.7256109 -94.9772849 11030 346.7140000000072
PACV 27 12.4968 45.72 27 60.488283 -145.4588865 9 60.496708 -145.4967884 11070 294.278999999995
PABE 19R 38.1 46.02 19R 60.7878203 -161.829278 1L 60.7717522 -161.8435566 11150 203.4360000000015
EFTP 24 118.872 45.11 24 61.4193688 23.6272159 06 61.4089222 23.5815857 11010 244.44500000000698
ESNQ 21 458.72400000000005 45.11 21 67.831322 20.3532066 03 67.8125958 20.3201561 11030 213.65899999999965
EFUT 25 103.0224 45.0 25 60.8981558 26.9558374 07 60.8945109 26.9203954 11050 258.0390000000043
ESNG 30 312.7248 45.0 30 67.128805 20.832095 12 67.1359925 20.7972096 10810 297.99800000000687
ENNA 34 6.7056000000000004 45.11 34 70.056378 24.976403 16 70.081247 24.970575 10830 355.429999999993
USDA 04 13.411200000000001 46.0 04 71.209581 72.0046074 22 71.219483 72.073247 10890 65.89400000000023
ENAL 24 20.1168 45.11 24 62.5648126 6.1305531 06 62.555931 6.089844 11195 244.63899999999558
ULPB 19 45.415200000000006 48.0 19 61.8954833 34.1641556 01 61.8748303 34.1454716 11070 203.09100000000035
CYHY 32 164.8968 45.72 32 60.8323545 -115.782047 14 60.8472654 -115.7962433 11030 338.2189999999973
ESND 09 359.05440000000004 30.0 09 62.0473234 14.4047842 27 62.048117 14.4372604 10910 87.0580000000009
ESNS 28 44.196000000000005 45.0 28 64.6210815 21.1063376 10 64.6274173 21.0557697 10950 286.29899999999907
USRO 01 135.9408 42.0 01 63.1736068 75.2586042 19 63.1938972 75.2794638 10910 24.882000000000062
USRO 19 135.9408 42.0 19 63.1938972 75.2794638 01 63.1736068 75.2586042 10850 204.8819999999978
ENBR 17 50.5968 45.0 17 60.3066626 5.2136891 35 60.2801164 5.2225813 10990 170.5550000000003
ENBR 35 50.5968 45.0 35 60.2801164 5.2225813 17 60.3066626 5.2136891 11050 350.554999999993
USRK 17 67.056 42.06 17 62.2016626 74.5378348 35 62.1794673 74.529552 10850 189.93699999999808
USRK 35 67.056 42.06 35 62.1794673 74.529552 17 62.2016626 74.5378348 10950 9.937000000005355
